decile,n,positives,pop_weight,weighted_positives,pos_rate,weighted_pos_rate,lift,cum_captured
D10,3991,0,6777312.28,0.0,0.0,0.0,0.0,0.0
D9,3990,0,6534462.45,0.0,0.0,0.0,0.0,0.0
D8,3991,0,6808227.86,0.0,0.0,0.0,0.0,0.0
D7,3990,12,7303085.01,19236.07,0.003,0.0026,0.0408,0.0043
D6,3991,10,6978447.36,16625.06,0.0025,0.0024,0.0369,0.008
D5,3990,20,7025001.88,26997.74,0.005,0.0038,0.0595,0.014
D4,3990,49,6927178.21,93269.58,0.0123,0.0135,0.2085,0.0348
D3,3991,119,6912822.33,208003.18,0.0298,0.0301,0.466,0.0812
D2,3990,367,7100790.92,696975.89,0.092,0.0982,1.5201,0.2367
D1,3991,1899,7069253.94,3422373.04,0.4758,0.4841,7.4977,1.0
